start_time;end_time;cycle_time_s
2022-03-04 20:20:20 +01:00;2022-03-06 17:58:55 +01:00;0.800000
2022-03-06 17:59:33 +01:00;2022-03-07 05:31:12 +01:00;0.800000
2022-03-07 09:35:57 +01:00;2022-03-08 03:33:14 +01:00;1.200000
2022-03-08 05:30:54 +01:00;2022-03-08 06:18:19 +01:00;1.200000
2022-03-08 06:18:56 +01:00;2022-03-09 07:16:36 +01:00;1.200000
2022-03-09 08:52:19 +01:00;2022-03-09 17:46:00 +01:00;1.200000
2022-03-09 17:46:00 +01:00;2022-03-10 00:24:58 +01:00;1.200000
2022-03-10 01:54:26 +01:00;2022-03-11 07:30:38 +01:00;1.000000
2022-03-11 10:00:42 +01:00;2022-03-12 07:38:08 +01:00;1.000000
2022-03-12 09:58:50 +01:00;2022-03-12 15:54:00 +01:00;1.200000
2022-03-12 15:54:00 +01:00;2022-03-13 05:42:40 +01:00;1.200000
2022-03-13 10:39:05 +01:00;2022-03-14 23:54:12 +01:00;0.800000
2022-03-15 01:17:48 +01:00;2022-03-15 19:52:46 +01:00;0.800000
2022-03-17 18:32:25 +01:00;2022-03-19 08:26:03 +01:00;0.800000
2022-03-19 10:50:46 +01:00;2022-03-20 19:11:03 +01:00;1.000000
2022-03-20 19:52:43 +01:00;2022-03-21 13:30:18 +01:00;1.000000
2022-03-21 14:56:55 +01:00;2022-03-22 01:52:52 +01:00;1.000000
2022-03-22 04:58:34 +01:00;2022-03-23 16:54:50 +01:00;1.200000
2022-03-23 19:27:25 +01:00;2022-03-25 04:17:45 +01:00;1.200000
2022-03-25 08:27:34 +01:00;2022-03-26 07:14:37 +01:00;0.800000
2022-03-28 06:14:10 +02:00;2022-03-28 11:19:18 +02:00;1.000000
2022-03-28 13:27:45 +02:00;2022-03-29 05:56:38 +02:00;1.200000
2022-04-05 09:31:39 +02:00;2022-04-09 12:44:02 +02:00;1.000000
2022-08-09 11:27:18 +02:00;2022-08-09 11:55:45 +02:00;1.200000
2022-08-10 09:23:03 +02:00;2022-08-10 09:23:13 +02:00;1.200000
